report_dt,traffic
2017-01-01,93
2017-01-02,182
2017-01-03,229
2017-01-04,192
2017-01-05,234
2017-01-06,185
2017-01-07,183
2017-01-08,158
2017-01-09,193
2017-01-10,230
2017-01-11,200
2017-01-12,184
2017-01-13,171
2017-01-14,154
2017-01-15,138
2017-01-16,196
2017-01-17,178
2017-01-18,184
2017-01-19,199
2017-01-20,179
2017-01-21,160
2017-01-22,144
2017-01-23,183
2017-01-24,250
2017-01-25,190
2017-01-26,154
2017-01-27,163
2017-01-28,147
2017-01-29,127
2017-01-30,207
2017-01-31,191
2017-02-01,202
2017-02-02,225
2017-02-03,212
2017-02-04,268
2017-02-05,266
2017-02-06,232
2017-02-07,222
2017-02-08,199
2017-02-09,214
2017-02-10,201
2017-02-11,163
2017-02-12,155
2017-02-13,193
2017-02-14,165
2017-02-15,184
2017-02-16,162
2017-02-17,156
2017-02-18,160
2017-02-19,147
2017-02-20,261
2017-02-21,209
2017-02-22,201
2017-02-23,216
2017-02-24,216
2017-02-25,160
2017-02-26,159
2017-02-27,214
2017-02-28,202
2017-03-01,182
2017-03-02,180
2017-03-03,174
2017-03-04,179
2017-03-05,152
2017-03-06,172
2017-03-07,182
2017-03-08,172
2017-03-09,184
2017-03-10,156
2017-03-11,132
2017-03-12,136
2017-03-13,147
2017-03-14,176
2017-03-15,161
2017-03-16,142
2017-03-17,162
2017-03-18,139
2017-03-19,140
2017-03-20,187
2017-03-21,184
2017-03-22,161
2017-03-23,154
2017-03-24,132
2017-03-25,135
2017-03-26,118
2017-03-27,183
2017-03-28,160
2017-03-29,144
2017-03-30,161
2017-03-31,144
2017-04-01,133
2017-04-02,128
2017-04-03,152
2017-04-04,161
2017-04-05,151
2017-04-06,154
2017-04-07,129
2017-04-08,102
2017-04-09,125
2017-04-10,138
2017-04-11,154
2017-04-12,121
2017-04-13,132
2017-04-14,143
2017-04-15,110
2017-04-16,109
2017-04-17,170
2017-04-18,156
2017-04-19,233
2017-04-20,178
2017-04-21,146
2017-04-22,192
2017-04-23,132
2017-04-24,178
2017-04-25,162
2017-04-26,181
2017-04-27,169
2017-04-28,150
2017-04-29,141
2017-04-30,124
2017-05-01,132
2017-05-02,238
2017-05-03,185
2017-05-04,160
2017-05-05,166
2017-05-06,122
2017-05-07,149
2017-05-08,150
2017-05-09,162
2017-05-10,157
2017-05-11,176
2017-05-12,158
2017-05-13,135
2017-05-14,133
2017-05-15,156
2017-05-16,160
2017-05-17,130
2017-05-18,159
2017-05-19,160
2017-05-20,143
2017-05-21,130
2017-05-22,166
2017-05-23,162
2017-05-24,163
2017-05-25,174
2017-05-26,135
2017-05-27,155
2017-05-28,127
2017-05-29,158
2017-05-30,188
2017-05-31,188
2017-06-01,258
2017-06-02,216
2017-06-03,183
2017-06-04,149
2017-06-05,176
2017-06-06,215
2017-06-07,183
2017-06-08,202
2017-06-09,185
2017-06-10,176
2017-06-11,161
2017-06-12,182
2017-06-13,202
2017-06-14,220
2017-06-15,182
2017-06-16,229
2017-06-17,174
2017-06-18,165
2017-06-19,172
2017-06-20,180
2017-06-21,200
2017-06-22,290
2017-06-23,220
2017-06-24,182
2017-06-25,145
2017-06-26,181
2017-06-27,225
2017-06-28,276
2017-06-29,296
2017-06-30,272
