report_dt,traffic
2015-11-01,133
2015-11-02,197
2015-11-03,217
2015-11-04,199
2015-11-05,200
2015-11-06,199
2015-11-07,157
2015-11-08,153
2015-11-09,210
2015-11-10,202
2015-11-11,198
2015-11-12,210
2015-11-13,202
2015-11-14,155
2015-11-15,148
2015-11-16,186
2015-11-17,225
2015-11-18,232
2015-11-19,235
2015-11-20,237
2015-11-21,164
2015-11-22,171
2015-11-23,245
2015-11-24,233
2015-11-25,213
2015-11-26,239
2015-11-27,207
2015-11-28,204
2015-11-29,202
2015-11-30,241
2015-12-01,232
2015-12-02,235
2015-12-03,219
2015-12-04,211
2015-12-05,143
2015-12-06,142
2015-12-07,206
2015-12-08,229
2015-12-09,231
2015-12-10,230
2015-12-11,206
2015-12-12,164
2015-12-13,167
2015-12-14,224
2015-12-15,219
2015-12-16,199
2015-12-17,220
2015-12-18,418
2015-12-19,152
2015-12-20,146
2015-12-21,204
2015-12-22,215
2015-12-23,211
2015-12-24,173
2015-12-25,118
2015-12-26,142
2015-12-27,149
2015-12-28,218
2015-12-29,205
2015-12-30,204
2015-12-31,180
2016-01-01,145
2016-01-02,134
2016-01-03,139
2016-01-04,200
2016-01-05,229
2016-01-06,197
2016-01-07,222
2016-01-08,216
2016-01-09,146
2016-01-10,130
2016-01-11,204
2016-01-12,196
2016-01-13,191
2016-01-14,213
2016-01-15,187
2016-01-16,145
2016-01-17,134
2016-01-18,216
2016-01-19,233
2016-01-20,230
2016-01-21,236
2016-01-22,213
2016-01-23,156
2016-01-24,159
2016-01-25,242
2016-01-26,211
2016-01-27,241
2016-01-28,248
2016-01-29,222
2016-01-30,190
2016-01-31,170
2016-02-01,271
2016-02-02,266
2016-02-03,308
2016-02-04,269
2016-02-05,263
2016-02-06,205
2016-02-07,181
2016-02-08,235
2016-02-09,253
2016-02-10,267
2016-02-11,266
2016-02-12,266
2016-02-13,191
2016-02-14,178
2016-02-15,249
2016-02-16,298
2016-02-17,260
2016-02-18,277
2016-02-19,266
2016-02-20,208
2016-02-21,176
2016-02-22,257
2016-02-23,303
2016-02-24,280
2016-02-25,262
2016-02-26,266
2016-02-27,172
2016-02-28,178
2016-02-29,282
2016-03-01,301
2016-03-02,296
2016-03-03,289
2016-03-04,243
2016-03-05,198
2016-03-06,189
2016-03-07,262
2016-03-08,283
2016-03-09,286
2016-03-10,276
2016-03-11,260
2016-03-12,190
2016-03-13,182
2016-03-14,272
2016-03-15,280
2016-03-16,279
2016-03-17,277
2016-03-18,282
2016-03-19,194
2016-03-20,198
2016-03-21,278
2016-03-22,268
2016-03-23,283
2016-03-24,239
2016-03-25,212
2016-03-26,182
2016-03-27,184
2016-03-28,235
2016-03-29,294
2016-03-30,291
2016-03-31,270
2016-04-01,256
2016-04-02,195
2016-04-03,190
2016-04-04,282
2016-04-05,290
2016-04-06,302
2016-04-07,304
2016-04-08,269
2016-04-09,187
2016-04-10,212
2016-04-11,295
2016-04-12,333
2016-04-13,320
2016-04-14,286
2016-04-15,300
2016-04-16,198
2016-04-17,183
2016-04-18,294
2016-04-19,329
2016-04-20,313
2016-04-21,307
2016-04-22,290
2016-04-23,224
2016-04-24,222
2016-04-25,290
2016-04-26,318
2016-04-27,298
2016-04-28,296
2016-04-29,286
2016-04-30,219
2016-05-01,217
2016-05-02,318
2016-05-03,330
2016-05-04,315
2016-05-05,284
2016-05-06,281
2016-05-07,205
2016-05-08,220
2016-05-09,303
2016-05-10,322
2016-05-11,323
2016-05-12,345
2016-05-13,344
2016-05-14,229
2016-05-15,206
2016-05-16,316
2016-05-17,351
2016-05-18,332
2016-05-19,322
2016-05-20,312
2016-05-21,198
2016-05-22,193
2016-05-23,296
2016-05-24,296
2016-05-25,324
2016-05-26,321
2016-05-27,303
2016-05-28,200
2016-05-29,194
2016-05-30,280
2016-05-31,303
2016-06-01,327
2016-06-02,330
2016-06-03,306
2016-06-04,209
2016-06-05,203
2016-06-06,294
2016-06-07,340
2016-06-08,322
2016-06-09,328
2016-06-10,282
2016-06-11,213
2016-06-12,196
2016-06-13,309
2016-06-14,333
2016-06-15,343
2016-06-16,338
2016-06-17,325
2016-06-18,198
2016-06-19,202
2016-06-20,295
2016-06-21,327
2016-06-22,312
2016-06-23,311
2016-06-24,298
2016-06-25,195
2016-06-26,177
2016-06-27,280
2016-06-28,331
2016-06-29,339
2016-06-30,305
2016-07-01,302
2016-07-02,199
2016-07-03,176
2016-07-04,313
2016-07-05,314
2016-07-06,306
2016-07-07,290
2016-07-08,295
2016-07-09,249
2016-07-10,211
2016-07-11,296
2016-07-12,320
2016-07-13,323
2016-07-14,299
2016-07-15,314
2016-07-16,213
2016-07-17,198
2016-07-18,312
2016-07-19,316
2016-07-20,343
2016-07-21,330
