report_dt,traffic
2015-11-01,136
2015-11-02,166
2015-11-03,150
2015-11-04,121
2015-11-05,106
2015-11-06,101
2015-11-07,97
2015-11-08,118
2015-11-09,121
2015-11-10,136
2015-11-11,111
2015-11-12,116
2015-11-13,113
2015-11-14,99
2015-11-15,83
2015-11-16,142
2015-11-17,169
2015-11-18,372
2015-11-19,420
2015-11-20,460
2015-11-21,288
2015-11-22,287
2015-11-23,238
2015-11-24,147
2015-11-25,108
2015-11-26,142
2015-11-27,113
2015-11-28,103
2015-11-29,103
2015-11-30,113
2015-12-01,127
2015-12-02,113
2015-12-03,101
2015-12-04,92
2015-12-05,68
2015-12-06,89
2015-12-07,93
2015-12-08,97
2015-12-09,93
2015-12-10,89
2015-12-11,102
2015-12-12,84
2015-12-13,123
2015-12-14,93
2015-12-15,100
2015-12-16,106
2015-12-17,98
2015-12-18,107
2015-12-19,84
2015-12-20,112
2015-12-21,102
2015-12-22,98
2015-12-23,92
2015-12-24,114
2015-12-25,93
2015-12-26,97
2015-12-27,86
2015-12-28,104
2015-12-29,119
2015-12-30,144
2015-12-31,104
2016-01-01,85
2016-01-02,110
2016-01-03,99
2016-01-04,138
2016-01-05,158
2016-01-06,135
2016-01-07,140
2016-01-08,142
2016-01-09,109
2016-01-10,91
2016-01-11,140
2016-01-12,145
2016-01-13,134
2016-01-14,139
2016-01-15,139
2016-01-16,143
2016-01-17,110
2016-01-18,147
2016-01-19,273
2016-01-20,220
2016-01-21,238
2016-01-22,420
2016-01-23,234
2016-01-24,229
2016-01-25,337
2016-01-26,261
2016-01-27,333
2016-01-28,474
2016-01-29,608
2016-01-30,450
2016-01-31,485
2016-02-01,405
2016-02-02,284
2016-02-03,388
2016-02-04,317
2016-02-05,344
2016-02-06,469
2016-02-07,224
2016-02-08,241
2016-02-09,224
2016-02-10,180
2016-02-11,168
2016-02-12,263
2016-02-13,216
2016-02-14,169
2016-02-15,222
2016-02-16,283
2016-02-17,217
2016-02-18,256
2016-02-19,177
2016-02-20,170
2016-02-21,201
2016-02-22,262
2016-02-23,404
2016-02-24,357
2016-02-25,338
2016-02-26,631
2016-02-27,430
2016-02-28,413
2016-02-29,372
2016-03-01,418
2016-03-02,454
2016-03-03,530
2016-03-04,498
2016-03-05,575
2016-03-06,262
2016-03-07,290
2016-03-08,264
2016-03-09,233
2016-03-10,473
2016-03-11,375
2016-03-12,515
2016-03-13,272
2016-03-14,320
2016-03-15,308
2016-03-16,253
2016-03-17,220
2016-03-18,232
2016-03-19,206
2016-03-20,278
